apparent_wind_speed,alpha_deg,main_CL,main_CD,main_L,main_D,main_S,main_AR,back_CL,back_CD,back_L,back_D,back_S,back_AR
3.5,-15.0,-1.06134777893314,0.14317411867684815,-2.691637668187009,0.5443280138712098,0.338,5.0,-1.0120270187658755,0.08853054837664256,-0.4414251025335973,0.04879038373022605,0.05813300025000001,5.0
3.5,-14.0,-0.992057081689239,0.13411617449341245,-2.515912562374756,0.5213565579126566,0.338,5.0,-0.9482570922326711,0.0805723445274106,-0.41360998906675817,0.04531918100046655,0.05813300025000001,5.0
3.5,-13.0,-0.922464194247983,0.12563403957958502,-2.3394210852238118,0.49984538665110123,0.338,5.0,-0.8837183009116555,0.07304536756760166,-0.3854595127968509,0.04203607045633952,0.05813300025000001,5.0
3.5,-12.0,-0.8525903152770478,0.11773804811018557,-2.162216997747828,0.47982070813518407,0.338,5.0,-0.8184669330139754,0.06597443717171064,-0.3569982254689536,0.0389518779228038,0.05813300025000001,5.0
3.5,-11.0,-0.782456729036851,0.11043782013453532,-1.984354278028463,0.46130691935111146,0.338,5.0,-0.7525589477535469,0.05938267547561281,-0.32825053532640613,0.03607668879383631,0.05813300025000001,5.0
3.5,-10.0,-0.7120847988971611,0.10374224985590869,-1.805887104773139,0.4443265764986861,0.338,5.0,-0.6860500605994833,0.05329147940116055,-0.2992407442961432,0.0334198359609977,0.05813300025000001,5.0
3.5,-9.0,-0.6414959608296071,0.09765949479531671,-1.6268698408116808,0.4289003675100527,0.338,5.0,-0.618995688908851,0.04772048198615082,-0.2699930242748353,0.03098988294636975,0.05813300025000001,5.0
3.5,-8.0,-0.5707117168780733,0.09219696585282405,-1.4473570165368688,0.4150470868446383,0.338,5.0,-0.551451024809267,0.04268752966916498,-0.24053144891875883,0.02879461399467574,0.05813300025000001,5.0
3.5,-7.0,-0.4997536286089698,0.0873613182785091,-1.267403313293957,0.40278361259099954,0.338,5.0,-0.48347100694135886,0.03820865376334644,-0.2108799813184464,0.026841021630736497,0.05813300025000001,5.0
3.5,-6.0,-0.4286433105433701,0.08315844356406674,-1.087063546724205,0.392124885903471,0.338,5.0,-0.41511038348600043,0.034298052304254915,-0.18106250148985378,0.025135298741882618,0.05813300025000001,5.0
3.5,-5.0,-0.35740242357301777,0.07959346226493327,-0.9063926500674993,0.3830838927986705,0.338,5.0,-0.3464237207826341,0.030968070226709624,-0.1511028101334925,0.02368282993150639,0.05813300025000001,5.0
3.5,-4.0,-0.28605266836221016,0.07667071776167847,-0.7254456574291606,0.375671648334038,0.338,5.0,-0.2774654252359794,0.028229183498645664,-0.1210246381896798,0.022488184598580513,0.05813300025000001,5.0
3.5,-3.0,-0.21461577873756496,0.07439377096826524,-0.5442776870160189,0.36989718318768494,0.338,5.0,-0.20828977292748369,0.026089986193304136,-0.09085165975443663,0.02155511129881673,0.05813300025000001,5.0
3.5,-2.0,-0.14311351506768655,0.07276539599362461,-0.3629439243468757,0.36576753265590395,0.338,5.0,-0.13895093377991413,0.024557179737294613,-0.060607502619579146,0.02088653305489467,0.05813300025000001,5.0
3.5,-1.0,-0.07156765763474679,0.07178757676183121,-0.18149960544245985,0.36328772808174414,0.338,5.0,-0.06950299753030971,0.023635564688566393,-0.030315759601579353,0.020484543770184205,0.05813300025000001,5.0
3.5,0.0,0.0,0.07146150459499752,0.0,0.36246079072509446,0.338,5.0,0.0,0.023328034897256347,0.0,0.0203504056818289,0.05813300025000001,5.0
3.5,1.0,0.07156765763474679,0.07178757676183121,0.18149960544245985,0.36328772808174414,0.338,5.0,0.06950405045879461,0.023635574006418615,0.030316218867049338,0.02048454783443723,0.05813300025000001,5.0
3.5,2.0,0.14311351506768655,0.07276539599362461,0.3629439243468757,0.36576753265590395,0.338,5.0,0.13895514642177703,0.024557254267567406,0.060609340086199885,0.020886565563447014,0.05813300025000001,5.0
3.5,3.0,0.21461577873756496,0.07439377096826524,0.5442776870160189,0.36989718318768494,0.338,5.0,0.20829925484766434,0.026090237662182828,0.09085579557048734,0.02155522098430289,0.05813300025000001,5.0
3.5,4.0,0.28605266836221016,0.07667071776167847,0.7254456574291606,0.375671648334038,0.338,5.0,0.27748229062179763,0.028229779337022497,0.12103199451962557,0.022488444490867683,0.05813300025000001,5.0
3.5,5.0,0.35740242357301777,0.07959346226493327,0.9063926500674993,0.3830838927986705,0.338,5.0,0.34645009028261775,0.030969233377885742,0.15111431196004277,0.023683337273818068,0.05813300025000001,5.0
3.5,6.0,0.4286433105433701,0.08315844356406674,1.087063546724205,0.392124885903471,0.338,5.0,0.41514838602904136,0.03430006096343532,0.18107907740744028,0.025136174877171718,0.05813300025000001,5.0
3.5,7.0,0.4997536286089698,0.0873613182785091,1.267403313293957,0.40278361259099954,0.338,5.0,0.48352278011222083,0.038211840957873534,0.21090256369701185,0.02684241181859199,0.05813300025000001,5.0
3.5,8.0,0.5707117168780733,0.09219696585282405,1.4473570165368688,0.4150470868446383,0.338,5.0,0.5515187197224652,0.0426922830187777,0.24056097602964166,0.028796687306752652,0.05813300025000001,5.0
3.5,9.0,0.6414959608296071,0.09765949479531671,1.6268698408116808,0.4289003675100527,0.338,5.0,0.6190814724911644,0.047727243314292074,0.270030441286354,0.030992832096849603,0.05813300025000001,5.0
3.5,10.0,0.7120847988971611,0.10374224985590869,1.805887104773139,0.4443265764986861,0.338,5.0,0.6861561027385815,0.0533007429622195,0.29928699766809513,0.03342387653334848,0.05813300025000001,5.0
3.5,11.0,0.782456729036851,0.11043782013453532,1.984354278028463,0.46130691935111146,0.338,5.0,0.7526874486111337,0.059394989322386765,0.32830658472349145,0.036082059837270905,0.05813300025000001,5.0
3.5,12.0,0.8525903152770478,0.11773804811018557,2.162216997747828,0.47982070813518407,0.338,5.0,0.8186201002665312,0.06599040029301446,0.3570650338336618,0.03895884070376482,0.05813300025000001,5.0
3.5,13.0,0.922464194247983,0.12563403957958502,2.3394210852238118,0.49984538665110123,0.338,5.0,0.8838983792816274,0.07306563178168686,0.38553805923035017,0.04204490928436926,0.05813300025000001,5.0
3.5,14.0,0.992057081689239,0.13411617449341245,2.515912562374756,0.5213565579126566,0.338,5.0,0.9484663194762357,0.08059760854187684,0.41370124963167465,0.04533020063726416,0.05813300025000001,5.0
3.5,15.0,1.06134777893314,0.14317411867684815,2.691637668187009,0.5443280138712098,0.338,5.0,1.012267649366293,0.08856155858675734,0.4415300605885626,0.04880390973785794,0.05813300025000001,5.0
4.5,-15.0,-1.0613477789331398,0.1347357372394716,-4.4494418596560745,0.8290558184925891,0.338,5.0,-1.012027018765875,0.08577590645071168,-0.7297027205147217,0.07668112775064971,0.05813300025000001,5.0
4.5,-14.0,-0.9920570816892389,0.12567779305603594,-4.158957501068473,0.7910825953774298,0.338,5.0,-0.9482570922326712,0.0778177026014798,-0.6837226349879064,0.0709430171157412,0.05813300025000001,5.0
4.5,-13.0,-0.9224641942479832,0.11719565814220853,-3.8672062837373224,0.7555233122715936,0.338,5.0,-0.8837183009116556,0.07029072564167083,-0.6371881742152026,0.06551583437953121,0.05813300025000001,5.0
4.5,-12.0,-0.8525903152770474,0.10929966667280903,-3.5742770779096733,0.7224212926840569,0.338,5.0,-0.818466933013975,0.06321979524577975,-0.5901399237343924,0.060417475293482334,0.05813300025000001,5.0
4.5,-11.0,-0.7824567290368512,0.10199943869715881,-3.280259112659296,0.6918168663267124,0.338,5.0,-0.7525589477535466,0.05662803354968196,-0.5426182318660997,0.0556646116313116,0.05813300025000001,5.0
4.5,-10.0,-0.7120847988971611,0.0953038684185322,-2.9852419487066175,0.6637473199788257,0.338,5.0,-0.686050060599483,0.0505368374752297,-0.4946632711834203,0.05127267123417022,0.05813300025000001,5.0
4.5,-9.0,-0.641495960829607,0.0892211133579402,-2.689315451137676,0.6382468520588398,0.338,5.0,-0.6189956889088507,0.04496584006021996,-0.4463149993114622,0.04725581012835666,0.05813300025000001,5.0
4.5,-8.0,-0.5707117168780732,0.08375858441544755,-2.3925697620303334,0.615346530958869,0.338,5.0,-0.5514510248092671,0.03993288774323414,-0.3976132114779483,0.04362689614698494,0.05813300025000001,5.0
4.5,-7.0,-0.49975362860896994,0.0789229368411326,-2.0950952729961334,0.5950742571926498,0.338,5.0,-0.48347100694135886,0.035454011837415596,-0.3485975201386563,0.040397488361697625,0.05813300025000001,5.0
4.5,-6.0,-0.42864331054337,0.07472006212669022,-1.7969825976461342,0.5774547294030619,0.338,5.0,-0.4151103834860002,0.03154341037832407,-0.29930740042200304,0.03757782399440855,0.05813300025000001,5.0
4.5,-5.0,-0.3574024235730179,0.07115508082755678,-1.4983225439891317,0.5625094142706366,0.338,5.0,-0.34642372078263417,0.02821342830077879,-0.24978219634312027,0.0351768041241948,0.05813300025000001,5.0
4.5,-4.0,-0.28605266836221016,0.06823233632430198,-1.199206086770653,0.5502565203597134,0.338,5.0,-0.2774654252359794,0.02547454157271483,-0.2000611365992666,0.033201982247317324,0.05813300025000001,5.0
4.5,-3.0,-0.21461577873756496,0.06595538953088874,-0.8997243397611739,0.5407109759341093,0.338,5.0,-0.20828977292748363,0.023335344267373298,-0.15018335592059928,0.03165955495587107,0.05813300025000001,5.0
4.5,-2.0,-0.14311351506768655,0.0643270145562481,-0.5999685280019782,0.5338844107693286,0.338,5.0,-0.1389509337799141,0.021802537811363775,-0.10018791249358999,0.03055435418530604,0.05813300025000001,5.0
4.5,-1.0,-0.07156765763474676,0.06334919532445471,-0.3000299600171274,0.5297851419834725,0.338,5.0,-0.06950299753030971,0.020880922762635555,-0.050113806688325054,0.02988984128609078,0.05813300025000001,5.0
4.5,0.0,0.0,0.06302312315762101,0.0,0.5284181639041129,0.338,5.0,0.0,0.02057339297132551,0.0,0.029668102813503437,0.05813300025000001,5.0
4.5,1.0,0.07156765763474676,0.06334919532445471,0.3000299600171274,0.5297851419834725,0.338,5.0,0.06950405045879463,0.020880932080487778,0.05011456588226524,0.02988984800454986,0.05813300025000001,5.0
4.5,2.0,0.14311351506768655,0.0643270145562481,0.5999685280019782,0.5338844107693286,0.338,5.0,0.13895514642177706,0.02180261234163657,0.10019094993841209,0.03055440792393338,0.05813300025000001,5.0
4.5,3.0,0.21461577873756496,0.06595538953088874,0.8997243397611739,0.5407109759341093,0.338,5.0,0.20829925484766437,0.02333559573625199,0.1501901926777444,0.03165973627269513,0.05813300025000001,5.0
4.5,4.0,0.28605266836221016,0.06823233632430198,1.199206086770653,0.5502565203597134,0.338,5.0,0.2774822906217976,0.025475137411091656,0.2000732970630545,0.03320241186517979,0.05813300025000001,5.0
4.5,5.0,0.3574024235730179,0.07115508082755678,1.4983225439891317,0.5625094142706366,0.338,5.0,0.34645009028261775,0.028214591451954908,0.2498012095666013,0.03517764279209777,0.05813300025000001,5.0
4.5,6.0,0.42864331054337,0.07472006212669022,1.7969825976461342,0.5774547294030619,0.338,5.0,0.4151483860290412,0.03154541903750448,0.2993348014286257,0.03757927229968237,0.05813300025000001,5.0
4.5,7.0,0.49975362860896994,0.0789229368411326,2.0950952729961334,0.5950742571926498,0.338,5.0,0.48352278011222083,0.0354571990319427,0.3486348501930196,0.0403997864273363,0.05813300025000001,5.0
4.5,8.0,0.5707117168780732,0.08375858441544755,2.3925697620303334,0.615346530958869,0.338,5.0,0.5515187197224651,0.03993764109284685,0.3976620216000198,0.04363032345878555,0.05813300025000001,5.0
4.5,9.0,0.641495960829607,0.0892211133579402,2.689315451137676,0.6382468520588398,0.338,5.0,0.6190814724911644,0.04497260138836123,0.4463768519223403,0.04726068525466011,0.05813300025000001,5.0
4.5,10.0,0.7120847988971611,0.0953038684185322,2.9852419487066175,0.6637473199788257,0.338,5.0,0.6861561027385817,0.050546101036288676,0.49473973083909617,0.05127935054764807,0.05813300025000001,5.0
4.5,11.0,0.7824567290368512,0.10199943869715881,3.280259112659296,0.6918168663267124,0.338,5.0,0.7526874486111335,0.05664034739645591,0.5427108849510776,0.05567349029494838,0.05813300025000001,5.0
4.5,12.0,0.8525903152770474,0.10929966667280903,3.5742770779096733,0.7224212926840569,0.338,5.0,0.8186201002665312,0.06323575836708364,0.5902503620515633,0.060428985196703644,0.05813300025000001,5.0
4.5,13.0,0.9224641942479832,0.11719565814220853,3.8672062837373224,0.7555233122715936,0.338,5.0,0.8838983792816276,0.07031098985575607,0.6373180162787423,0.06553044550341712,0.05813300025000001,5.0
4.5,14.0,0.9920570816892389,0.12567779305603594,4.158957501068473,0.7910825953774298,0.338,5.0,0.9484663194762357,0.077842966615946,0.6838734942890948,0.07096123325003927,0.05813300025000001,5.0
4.5,15.0,1.0613477789331398,0.1347357372394716,4.4494418596560745,0.8290558184925891,0.338,5.0,1.0122676493662932,0.08580691666082652,0.7298762226055832,0.07670348706938819,0.05813300025000001,5.0
5.0,-15.0,-1.0613477789331398,0.1315015984124662,-5.493138098340833,0.9900483223096628,0.338,5.0,-1.0120270187658753,0.08472014777551252,-0.9008675561910147,0.09278846735945984,0.05813300025000001,5.0
5.0,-14.0,-0.9920570816892389,0.1224436542290305,-5.134515433417868,0.9431677999452684,0.338,5.0,-0.9482570922326712,0.07676194392628063,-0.8441020185035881,0.08570438015586905,0.05813300025000001,5.0
