alpha_deg,ARm,Sm,bm,macm,CLm,CDm,CMm,Liftm,Dragm,CLCDm,cr,ct,sweep,ARt,St,bt,mact,CLt,CDt,CMt,Liftt,Dragt,CLCDt
0.0,5.0,0.338,1.3,0.26,0.0,0.06684611663446312,0.0,0.0,0.44284215347999134,0.0,0.3466666666666667,0.17333333333333334,0.13255153229667402,5.0,0.05813300025000001,0.7624500000000001,0.15249000000000001,0.0,0.021821378523059872,0.0,0.0,0.02486342718147314,0.0
1.0,5.0,0.338,1.3,0.26,0.07156765763474675,0.06717218880129681,0.0,0.2370607091493352,0.4439222349254113,2.1308716869849884,0.3466666666666667,0.17333333333333334,0.13255153229667402,5.0,0.05813300025000001,0.7624500000000001,0.15249000000000001,0.06950405045879463,0.02212891763222214,0.0,0.03959669403043179,0.025038633258349326,3.1408698615059722
2.0,5.0,0.338,1.3,0.26,0.14311351506768646,0.06815000803309021,0.0,0.4740492073102047,0.44716116334880374,4.199955926584711,0.3466666666666667,0.17333333333333334,0.13255153229667402,5.0,0.05813300025000001,0.7624500000000001,0.15249000000000001,0.138955146421777,0.023050597893370932,0.0,0.07916321970442433,0.025563717639096796,6.028266471202415
3.0,5.0,0.338,1.3,0.26,0.21461577873756488,0.06977838300773084,0.0,0.71089330549031,0.45255499261480336,6.151354315957344,0.3466666666666667,0.17333333333333334,0.13255153229667402,5.0,0.05813300025000001,0.7624500000000001,0.15249000000000001,0.20829925484766443,0.024583581287986354,0.0,0.11866879421451412,0.026437063494908555,8.473104565503535
4.0,5.0,0.338,1.3,0.26,0.28605266836221005,0.07205532980114407,0.0,0.9475208586829847,0.46009715117330535,7.939805956107586,0.3466666666666667,0.17333333333333334,0.13255153229667402,5.0,0.05813300025000001,0.7624500000000001,0.15249000000000001,0.2774822906217975,0.02672312296282602,0.0,0.1580826050868578,0.02765596766674828,10.383602657810517
5.0,5.0,0.338,1.3,0.26,0.35740242357301766,0.07497807430439887,0.0,1.183859787843264,0.46977845006588653,9.533518348898147,0.3466666666666667,0.17333333333333334,0.13255153229667402,5.0,0.05813300025000001,0.7624500000000001,0.15249000000000001,0.3464500902826178,0.029462577003689268,0.0,0.1973737952131171,0.02921664395468348,11.758988028753755
6.0,5.0,0.338,1.3,0.26,0.4286433105433699,0.07854305560353232,0.0,1.4198381018438588,0.48158709412113615,10.91486210333005,0.3466666666666667,0.17333333333333334,0.13255153229667402,5.0,0.05813300025000001,0.7624500000000001,0.15249000000000001,0.41514838602904136,0.03279340458923885,0.0,0.23651144804237098,0.031114227763145392,12.659508557561365
7.0,5.0,0.338,1.3,0.26,0.49975362860896966,0.08274593031797468,0.0,1.6553839194043514,0.49550869632525507,12.079231611476835,0.3466666666666667,0.17333333333333334,0.13255153229667402,5.0,0.05813300025000001,0.7624500000000001,0.15249000000000001,0.48352278011222094,0.03670518458367707,0.0,0.27546457299201554,0.03334278213561269,13.1731466711448
8.0,5.0,0.338,1.3,0.26,0.5707117168780732,0.08758157789228965,0.0,1.8904254909869302,0.5115262953504159,13.032688622713579,0.3466666666666667,0.17333333333333334,0.13255153229667402,5.0,0.05813300025000001,0.7624500000000001,0.15249000000000001,0.5515187197224649,0.041185626644581204,0.0,0.31420209114075626,0.035895305222189866,13.391048398556496
9.0,5.0,0.338,1.3,0.26,0.6414959608296068,0.09304410683478227,0.0,2.12489122065199,0.5296203762195285,13.789072358310804,0.3466666666666667,0.17333333333333334,0.13255153229667402,5.0,0.05813300025000001,0.7624500000000001,0.15249000000000001,0.6190814724911645,0.04622058694009561,0.0,0.3526928212719726,0.03876373923374508,13.39406341363704
10.0,5.0,0.338,1.3,0.26,0.7120847988971609,0.09912686189537429,0.0,2.3587096878669565,0.5497688940822335,14.367140960212119,0.3466666666666667,0.17333333333333334,0.13255153229667402,5.0,0.05813300025000001,0.7624500000000001,0.15249000000000001,0.6861561027385816,0.05179408658802303,0.0,0.39090546634200185,0.041938980946723214,13.24776915550915
11.0,5.0,0.338,1.3,0.26,0.7824567290368505,0.10582243217400086,0.0,2.591809669261664,0.5719473010731562,14.788107076395272,0.3466666666666667,0.17333333333333334,0.13255153229667402,5.0,0.05813300025000001,0.7624500000000001,0.15249000000000001,0.7526874486111338,0.057888332948190305,0.0,0.4288086004551726,0.04541089383347904,13.002403252565319
12.0,5.0,0.338,1.3,0.26,0.8525903152770472,0.11312266014965111,0.0,2.824120160323692,0.5961285762197001,15.073731720048784,0.3466666666666667,0.17333333333333334,0.13255153229667402,5.0,0.05813300025000001,0.7624500000000001,0.15249000000000001,0.8186201002665314,0.06448374391881802,0.0,0.4663706564358032,0.04916832190400171,12.69498404585713
