apparent_wind_speed,apparent_wind_angle_rad,apparent_wind_angle_deg,trim_speed,valid,trim_success,lqr_success,fail_reason,trim_solver_residual_norm,trim_inside_actuator_limits,finite_all,closed_loop_poles_stable,x_trim_u,x_trim_v,x_trim_r,u_trim_rudder,u_trim_backwing,u_trim_rudder_deg,u_trim_backwing_deg,f0_u_dot,f0_v_dot,f0_r_dot,A00,A01,A02,A10,A11,A12,A20,A21,A22,B00,B01,B10,B11,B20,B21,K00,K01,K02,K10,K11,K12,pole0_real,pole0_imag,pole1_real,pole1_imag,pole2_real,pole2_imag
3.5,-2.6179938779914944,-150.0,1.0,True,True,True,,5.190533826018149e-15,True,True,True,1.0,-0.0429490421090358,0.0,0.0005679020207081447,-0.19902475654767735,0.03253838896352777,-11.403278568800609,-4.829470157119431e-16,-1.7763568394002506e-16,-2.7200464103316335e-17,-0.053404454462505774,0.0368481528535057,-0.0429490421090358,0.005076147186779955,-3.9960246793467546,-1.0,0.0016838639643958207,-0.0007837297259364884,-0.39993094839835835,0.0,-0.21366056829335858,5.951601,0.823238127640106,1.1903202,0.002177592849389992,-0.6831392206540325,5.160604926181234,8.249497796635872,-1.1023343226580113,0.39163600468739246,-1.216811323075298,-43.97706193268756,0.0,-0.2489704763688606,0.0,-1.312018329015025,0.0
3.5,-2.443460952792061,-140.0,1.0,True,True,True,,6.926833680054554e-13,True,True,True,1.0,-0.027596064301685146,0.0,0.0008791776830543264,-0.12804454398189366,0.05037317068110326,-7.336411959839751,-6.682154829462661e-14,-1.7608137170554982e-14,-1.9156898289907075e-15,-0.051696008351425835,0.02301937841584653,-0.027596064301685146,0.008193297325070348,-3.9962372232913768,-1.0,0.0024402428663798208,-0.0005752162121842042,-0.39993094839835835,0.0,-0.3676766656648184,5.951601,0.7670336810313677,1.1903201999999997,0.0005476969945863228,-0.5715301884450898,5.144742413425455,8.341793699238686,-1.2354040576393661,0.34089748663984754,-1.0053649952735877,-43.9675341115039,0.0,-0.4327329714654418,0.0,-1.3116151973006709,0.0
3.5,-2.2689280275926285,-130.0,1.0,True,True,True,,2.1168972092664823e-15,True,True,True,1.0,-0.02024595797577143,0.0,0.0011897449833333286,-0.09426126226963888,0.06816736624186219,-5.400772499626055,-1.7763568394002506e-16,-1.1102230246251565e-16,-1.2212453270876722e-17,-0.05108320707762216,0.016222688177638667,-0.02024595797577143,0.011310846414605833,-3.996518558176021,-1.0,0.0032013512812515896,-0.0004506562671996866,-0.39993094839835835,0.0,-0.49069546625019816,5.951601,0.6947332859137393,1.1903202,0.00015452418483946742,-0.47209938564639664,5.133865068624834,8.407587367486109,-1.2855525229869746,0.29361710021848014,-0.8296651580109154,-43.956381677062794,0.0,-0.5824343774417239,0.0,-1.305826376382896,0.0
3.5,-2.0943951023931953,-119.99999999999999,1.0,True,True,True,,2.5066604164831255e-16,True,True,True,1.0,-0.015672024869753207,0.0,0.0014634866535489658,-0.07301430231018792,0.08385160862208024,-4.183411366466064,-2.2204460492503132e-17,-1.1102230246251566e-17,-1.3877787807814458e-18,-0.05072659666558753,0.011788911731811652,-0.015672024869753207,0.013998178850500587,-3.9968794773688394,-1.0,0.0038590976551040393,-0.00034205725174925317,-0.39993094839835835,0.0,-0.595823433428487,5.951601,0.6069905517790993,1.1903202,0.00012406346647410803,-0.38075589733440385,5.126227398949149,8.45623374320239,-1.3137432444070947,0.24646205027537343,-0.6712034175765658,-43.944355483290984,0.0,-0.7139111593879552,0.0,-1.29643220861511,0.0
3.5,-1.9198621771937625,-110.0,1.0,True,True,True,,2.9797304239789834e-12,True,True,True,1.0,-0.012497925603381315,0.0,0.0016969854390189488,-0.05781855543678214,0.0972301035509409,-3.3127592040707965,-1.8629542353210127e-13,-2.2771229346574275e-13,-1.8885171204630068e-14,-0.050451541504202835,0.008483921593168478,-0.012497925603381315,0.016220226677696733,-3.99733174403583,-1.0,0.004397327156747975,-0.00023968181916323575,-0.39993094839835835,0.0,-0.6849650553007015,5.951601,0.5041962830676088,1.1903202,0.0002456727740086271,-0.295028443880331,5.120923731862112,8.492166654316435,-1.3317714346779812,0.19826779503484915,-0.5232092769645266,-43.93233797742548,0.0,-0.8304631998952405,0.0,-1.2830596119273698,0.0
3.5,-1.7453292519943295,-100.0,1.0,True,True,True,,8.431191874219137e-13,True,True,True,1.0,-0.01016418510997377,0.0,0.0018862744772287744,-0.04598290090686166,0.10807556654845447,-2.634626151731459,-4.1144865292608304e-14,-7.240874566605271e-14,-5.254685575550866e-15,-0.05018595225849819,0.005794700367137001,-0.01016418510997377,0.017940595443707574,-3.997889173571103,-1.0,0.004801374610926182,-0.00014542592673773974,-0.39993094839835835,0.0,-0.7573309483468116,5.951601000000001,0.3870443141799215,1.1903201999999997,0.0004615728115397215,-0.21303627247276857,5.1173542120452495,8.51800587321501,-1.3438000520946634,0.14839277471103765,-0.38140316163910587,-43.921361187369556,0.0,-0.9324313499690284,0.0,-1.2647783394875387,0.0
3.5,-1.5707963267948966,-90.0,1.0,True,True,True,,1.8631931528314482e-16,True,True,True,1.0,-0.008405225421444486,0.0,0.0020264473508092447,-0.03615127594856248,0.11610688060683627,-2.071315535865432,-8.326672684688674e-18,-1.6653345369377347e-17,-2.7755575615628914e-19,-0.049891280847808854,0.0034631245983585825,-0.008405225421444486,0.01911852264102884,-3.9985672196263753,-1.0,0.0050565636004544084,-6.654276857735036e-05,-0.39993094839835835,0.0,-0.8109137091778789,5.951601,0.2565805173283192,1.1903202,0.0007719705527616002,-0.13297961644616674,5.115102547462568,8.535298933288182,-1.3516623409619313,0.09638585937870675,-0.24218546136620622,-43.91254715579938,0.0,-1.2407333483560843,0.0,-1.018522410712784,0.0
3.5,-1.3962634015954636,-80.0,1.0,True,True,True,,4.39337447028214e-14,True,True,True,1.0,-0.0070976418354790965,0.0,0.002110993305845534,-0.027533769036713812,0.12095100700531848,-1.5775687598916877,7.105427357601002e-16,4.268807529683727e-15,3.0309088572266773e-16,-0.049553236291777006,0.0013402882178162323,-0.007097641835479097,0.019703532718914896,-3.999381477358985,-1.0,0.005147373493039807,-1.3896676903712992e-05,-0.3999309483983583,0.0,-0.8428187699059886,5.951601,0.1139900297079362,1.1903201999999997,0.0010931858940974666,-0.05315109326792489,5.113914611164635,8.544704992259874,-1.3561615794720272,0.041870827028336555,-0.10231185047500246,-43.90702430035026,0.0,-1.2134193407630234,0.0,-1.0829957351351216,0.0
3.5,-1.2217304763960306,-70.0,1.0,True,True,True,,3.1031676915590914e-17,True,True,True,1.0,-0.006170325673784772,0.0,0.0021286934027605776,-0.019548913530586284,0.121965147855523,-1.1200702393687834,0.0,2.7755575615628915e-18,5.551115123125783e-19,-0.04913672431929618,-0.0006806029654350676,-0.006170325673784772,0.01960171042922801,-4.000344399367184,-1.0,0.005051145319121722,-9.912799403266614e-07,-0.39993094839835835,0.0,-0.8496559115719106,5.951601000000001,-0.038303709084503396,1.1903202000000002,0.001493862170206498,0.028714855406896334,5.113695800188118,8.546049523199237,-1.3575493153551657,-0.015424763839549155,0.04225847072495067,-43.905871003748025,0.0,-1.206387583107551,0.0,-1.0984696560285934,0.0
3.5,-1.0471975511965976,-59.99999999999999,1.0,True,True,True,,1.2868999543557996e-14,True,True,True,1.0,-0.005623521716100721,0.0,0.0020713428879280222,-0.01171682504511971,0.11867920540271515,-0.6713246243785398,-2.7478019859472625e-16,1.2406742300186125e-15,8.132383655379272e-17,-0.04864312806494839,-0.002688084041575292,-0.005623521716100721,0.018770510028887567,-4.001459023297954,-1.0,0.004759589074732812,-4.252840356377268e-05,-0.3999309483983583,0.0,-0.8272902509360863,5.951601,-0.19730665473873935,1.1903201999999997,0.00187631039259949,0.11495036277033321,5.114592671594304,8.538026410160299,-1.3554887368716027,-0.07572694234203974,0.19578970964111955,-43.90989792361685,0.0,-1.235055591964798,0.0,-1.04477115638179,0.0
